region_id,timestamp,val_Betula,extra_rings_Betula
AB,2017-01-01,,-1
AL,2017-01-01,,-1
B,2017-01-01,,-1
BA,2017-01-01,,-1
BB,2017-01-01,,-1
BD,2017-01-01,,-1
BH,2017-01-01,,-1
BL,2017-01-01,,-1
BN,2017-01-01,,-1
BR,2017-01-01,,-1
BS,2017-01-01,,-1
BT,2017-01-01,,-1
CA,2017-01-01,,-1
CB,2017-01-01,,-1
CF,2017-01-01,,-1
CH,2017-01-01,,-1
CM,2017-01-01,,-1
CO,2017-01-01,,-1
CR,2017-01-01,,-1
CT,2017-01-01,,-1
CV,2017-01-01,,-1
CW,2017-01-01,,-1
DA,2017-01-01,,-1
DD,2017-01-01,,-1
DE,2017-01-01,,-1
DG,2017-01-01,,-1
DH,2017-01-01,,-1
DL,2017-01-01,,-1
DN,2017-01-01,,-1
DT,2017-01-01,,-1
DY,2017-01-01,,-1
E,2017-01-01,,-1
EC,2017-01-01,,-1
EH,2017-01-01,,-1
EN,2017-01-01,,-1
EX,2017-01-01,,-1
FK,2017-01-01,,-1
FY,2017-01-01,,-1
G,2017-01-01,,-1
GL,2017-01-01,,-1
GU,2017-01-01,,-1
GY,2017-01-01,,-1
HA,2017-01-01,,-1
HD,2017-01-01,,-1
HG,2017-01-01,,-1
HP,2017-01-01,,-1
HR,2017-01-01,,-1
HS,2017-01-01,,-1
HU,2017-01-01,,-1
HX,2017-01-01,,-1
IG,2017-01-01,,-1
IM,2017-01-01,,-1
IP,2017-01-01,,-1
IV,2017-01-01,,-1
JE,2017-01-01,,-1
KA,2017-01-01,,-1
KT,2017-01-01,,-1
KW,2017-01-01,,-1
KY,2017-01-01,,-1
L,2017-01-01,,-1
LA,2017-01-01,,-1
LD,2017-01-01,,-1
LE,2017-01-01,,-1
LL,2017-01-01,,-1
LN,2017-01-01,,-1
LS,2017-01-01,,-1
LU,2017-01-01,,-1
M,2017-01-01,,-1
ME,2017-01-01,,-1
MK,2017-01-01,,-1
ML,2017-01-01,,-1
N,2017-01-01,,-1
NE,2017-01-01,,-1
NG,2017-01-01,,-1
NN,2017-01-01,,-1
NP,2017-01-01,,-1
NR,2017-01-01,,-1
NW,2017-01-01,,-1
OL,2017-01-01,,-1
OX,2017-01-01,,-1
PA,2017-01-01,,-1
PE,2017-01-01,,-1
PH,2017-01-01,,-1
PL,2017-01-01,,-1
PO,2017-01-01,,-1
PR,2017-01-01,,-1
RG,2017-01-01,,-1
RH,2017-01-01,,-1
RM,2017-01-01,,-1
S,2017-01-01,,-1
SA,2017-01-01,,-1
SE,2017-01-01,,-1
SG,2017-01-01,,-1
SK,2017-01-01,,-1
SL,2017-01-01,,-1
SM,2017-01-01,,-1
SN,2017-01-01,,-1
SO,2017-01-01,,-1
SP,2017-01-01,,-1
SR,2017-01-01,,-1
SS,2017-01-01,,-1
ST,2017-01-01,,-1
SW,2017-01-01,,-1
SY,2017-01-01,,-1
TA,2017-01-01,,-1
TD,2017-01-01,,-1
TF,2017-01-01,,-1
TN,2017-01-01,,-1
TQ,2017-01-01,,-1
TR,2017-01-01,,-1
TS,2017-01-01,,-1
TW,2017-01-01,,-1
UB,2017-01-01,,-1
W,2017-01-01,,-1
WA,2017-01-01,,-1
WC,2017-01-01,,-1
WD,2017-01-01,,-1
WF,2017-01-01,,-1
WN,2017-01-01,,-1
WR,2017-01-01,,-1
WS,2017-01-01,,-1
WV,2017-01-01,,-1
YO,2017-01-01,,-1
ZE,2017-01-01,,-1
AB,2017-01-02,,-1
AL,2017-01-02,,-1
B,2017-01-02,,-1
BA,2017-01-02,,-1
BB,2017-01-02,,-1
BD,2017-01-02,,-1
BH,2017-01-02,,-1
BL,2017-01-02,,-1
BN,2017-01-02,,-1
BR,2017-01-02,,-1
BS,2017-01-02,,-1
BT,2017-01-02,,-1
CA,2017-01-02,,-1
CB,2017-01-02,,-1
CF,2017-01-02,,-1
CH,2017-01-02,,-1
CM,2017-01-02,,-1
CO,2017-01-02,,-1
CR,2017-01-02,,-1
CT,2017-01-02,,-1
CV,2017-01-02,,-1
CW,2017-01-02,,-1
DA,2017-01-02,,-1
DD,2017-01-02,,-1
DE,2017-01-02,,-1
DG,2017-01-02,,-1
DH,2017-01-02,,-1
DL,2017-01-02,,-1
DN,2017-01-02,,-1
DT,2017-01-02,,-1
DY,2017-01-02,,-1
E,2017-01-02,,-1
EC,2017-01-02,,-1
EH,2017-01-02,,-1
EN,2017-01-02,,-1
EX,2017-01-02,,-1
FK,2017-01-02,,-1
FY,2017-01-02,,-1
G,2017-01-02,,-1
GL,2017-01-02,,-1
GU,2017-01-02,,-1
GY,2017-01-02,,-1
HA,2017-01-02,,-1
HD,2017-01-02,,-1
HG,2017-01-02,,-1
HP,2017-01-02,,-1
HR,2017-01-02,,-1
HS,2017-01-02,,-1
HU,2017-01-02,,-1
HX,2017-01-02,,-1
IG,2017-01-02,,-1
IM,2017-01-02,,-1
IP,2017-01-02,,-1
IV,2017-01-02,,-1
JE,2017-01-02,,-1
KA,2017-01-02,,-1
KT,2017-01-02,,-1
KW,2017-01-02,,-1
KY,2017-01-02,,-1
L,2017-01-02,,-1
LA,2017-01-02,,-1
LD,2017-01-02,,-1
LE,2017-01-02,,-1
LL,2017-01-02,,-1
LN,2017-01-02,,-1
LS,2017-01-02,,-1
LU,2017-01-02,,-1
M,2017-01-02,,-1
ME,2017-01-02,,-1
MK,2017-01-02,,-1
ML,2017-01-02,,-1
N,2017-01-02,,-1
NE,2017-01-02,,-1
NG,2017-01-02,,-1
NN,2017-01-02,,-1
NP,2017-01-02,,-1
NR,2017-01-02,,-1
NW,2017-01-02,,-1
OL,2017-01-02,,-1
OX,2017-01-02,,-1
PA,2017-01-02,,-1
PE,2017-01-02,,-1
PH,2017-01-02,,-1
PL,2017-01-02,,-1
PO,2017-01-02,,-1
PR,2017-01-02,,-1
RG,2017-01-02,,-1
RH,2017-01-02,,-1
RM,2017-01-02,,-1
S,2017-01-02,,-1
SA,2017-01-02,,-1
SE,2017-01-02,,-1
SG,2017-01-02,,-1
SK,2017-01-02,,-1
SL,2017-01-02,,-1
SM,2017-01-02,,-1
SN,2017-01-02,,-1
SO,2017-01-02,,-1
SP,2017-01-02,,-1
SR,2017-01-02,,-1
SS,2017-01-02,,-1
ST,2017-01-02,,-1
SW,2017-01-02,,-1
SY,2017-01-02,,-1
TA,2017-01-02,,-1
TD,2017-01-02,,-1
TF,2017-01-02,,-1
TN,2017-01-02,,-1
TQ,2017-01-02,,-1
TR,2017-01-02,,-1
TS,2017-01-02,,-1
TW,2017-01-02,,-1
UB,2017-01-02,,-1
W,2017-01-02,,-1
WA,2017-01-02,,-1
WC,2017-01-02,,-1
WD,2017-01-02,,-1
WF,2017-01-02,,-1
WN,2017-01-02,,-1
WR,2017-01-02,,-1
WS,2017-01-02,,-1
WV,2017-01-02,,-1
YO,2017-01-02,,-1
ZE,2017-01-02,,-1
AB,2017-01-03,,-1
AL,2017-01-03,,-1
B,2017-01-03,,-1
BA,2017-01-03,,-1
BB,2017-01-03,,-1
BD,2017-01-03,,-1
BH,2017-01-03,,-1
BL,2017-01-03,,-1
BN,2017-01-03,,-1
BR,2017-01-03,,-1
BS,2017-01-03,,-1
BT,2017-01-03,,-1
CA,2017-01-03,,-1
CB,2017-01-03,,-1
CF,2017-01-03,,-1
CH,2017-01-03,,-1
CM,2017-01-03,,-1
CO,2017-01-03,,-1
CR,2017-01-03,,-1
CT,2017-01-03,,-1
CV,2017-01-03,,-1
CW,2017-01-03,,-1
DA,2017-01-03,,-1
DD,2017-01-03,,-1
DE,2017-01-03,,-1
DG,2017-01-03,,-1
DH,2017-01-03,,-1
DL,2017-01-03,,-1
DN,2017-01-03,,-1
DT,2017-01-03,,-1
DY,2017-01-03,,-1
E,2017-01-03,,-1
EC,2017-01-03,,-1
EH,2017-01-03,,-1
EN,2017-01-03,,-1
EX,2017-01-03,,-1
FK,2017-01-03,,-1
FY,2017-01-03,,-1
G,2017-01-03,,-1
GL,2017-01-03,,-1
GU,2017-01-03,,-1
GY,2017-01-03,,-1
HA,2017-01-03,,-1
HD,2017-01-03,,-1
HG,2017-01-03,,-1
HP,2017-01-03,,-1
HR,2017-01-03,,-1
HS,2017-01-03,,-1
HU,2017-01-03,,-1
HX,2017-01-03,,-1
IG,2017-01-03,,-1
IM,2017-01-03,,-1
IP,2017-01-03,,-1
IV,2017-01-03,,-1
JE,2017-01-03,,-1
KA,2017-01-03,,-1
KT,2017-01-03,,-1
KW,2017-01-03,,-1
KY,2017-01-03,,-1
L,2017-01-03,,-1
LA,2017-01-03,,-1
LD,2017-01-03,,-1
LE,2017-01-03,,-1
LL,2017-01-03,,-1
LN,2017-01-03,,-1
LS,2017-01-03,,-1
LU,2017-01-03,,-1
M,2017-01-03,,-1
ME,2017-01-03,,-1
MK,2017-01-03,,-1
ML,2017-01-03,,-1
N,2017-01-03,,-1
NE,2017-01-03,,-1
NG,2017-01-03,,-1
NN,2017-01-03,,-1
NP,2017-01-03,,-1
NR,2017-01-03,,-1
NW,2017-01-03,,-1
OL,2017-01-03,,-1
OX,2017-01-03,,-1
PA,2017-01-03,,-1
PE,2017-01-03,,-1
PH,2017-01-03,,-1
PL,2017-01-03,,-1
PO,2017-01-03,,-1
PR,2017-01-03,,-1
RG,2017-01-03,,-1
RH,2017-01-03,,-1
RM,2017-01-03,,-1
S,2017-01-03,,-1
SA,2017-01-03,,-1
SE,2017-01-03,,-1
SG,2017-01-03,,-1
SK,2017-01-03,,-1
SL,2017-01-03,,-1
SM,2017-01-03,,-1
SN,2017-01-03,,-1
SO,2017-01-03,,-1
SP,2017-01-03,,-1
SR,2017-01-03,,-1
SS,2017-01-03,,-1
ST,2017-01-03,,-1
SW,2017-01-03,,-1
SY,2017-01-03,,-1
TA,2017-01-03,,-1
TD,2017-01-03,,-1
TF,2017-01-03,,-1
TN,2017-01-03,,-1
TQ,2017-01-03,,-1
TR,2017-01-03,,-1
TS,2017-01-03,,-1
TW,2017-01-03,,-1
UB,2017-01-03,,-1
W,2017-01-03,,-1
WA,2017-01-03,,-1
WC,2017-01-03,,-1
WD,2017-01-03,,-1
WF,2017-01-03,,-1
WN,2017-01-03,,-1
WR,2017-01-03,,-1
WS,2017-01-03,,-1
WV,2017-01-03,,-1
YO,2017-01-03,,-1
ZE,2017-01-03,,-1
AB,2017-01-04,,-1
AL,2017-01-04,,-1
B,2017-01-04,,-1
BA,2017-01-04,,-1
BB,2017-01-04,,-1
BD,2017-01-04,,-1
BH,2017-01-04,,-1
BL,2017-01-04,,-1
BN,2017-01-04,,-1
BR,2017-01-04,,-1
BS,2017-01-04,,-1
BT,2017-01-04,,-1
CA,2017-01-04,,-1
CB,2017-01-04,,-1
CF,2017-01-04,,-1
